Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
ApplicationOverview,Chrome 77.0.3865.120,,,2020-05-12 21:57:48,2020-05-12 21:58:26,37.792s,ERROR
,,,,,,,
Test Cases/Verify Item Added into the Cart/Verify Item Added into the Cart,Chrome 77.0.3865.120,Check All Items and Elements Present,,2020-05-12 21:57:48,2020-05-12 21:58:26,37.411s,ERROR
openBrowser(environment),Chrome 77.0.3865.120,,,2020-05-12 21:57:49,2020-05-12 21:58:12,23.405s,PASSED
log = new com.kms.katalon.core.logging.KeywordLogger(),Chrome 77.0.3865.120,,,2020-05-12 21:58:12,2020-05-12 21:58:12,0.002s,PASSED
maximizeWindow(),Chrome 77.0.3865.120,,,2020-05-12 21:58:12,2020-05-12 21:58:17,4.182s,PASSED
deleteAllCookies(),Chrome 77.0.3865.120,,,2020-05-12 21:58:17,2020-05-12 21:58:19,2.812s,PASSED
waitForPageLoad(10),Chrome 77.0.3865.120,,,2020-05-12 21:58:19,2020-05-12 21:58:19,0.175s,PASSED
delay(4),Chrome 77.0.3865.120,,,2020-05-12 21:58:19,2020-05-12 21:58:24,4.036s,PASSED
"doubleClick(findTestObject(""ApplicationObjects/buttonNotiAllow""))",Chrome 77.0.3865.120,,,2020-05-12 21:58:24,2020-05-12 21:58:26,2.039s,PASSED
"mouseOver(findTestObject(""Object Repository/ApplicationObjects/HOME And KITCHEN""), 2)",Chrome 77.0.3865.120,,,2020-05-12 21:58:26,2020-05-12 21:58:26,0.072s,PASSED
